County  ,Municipality  ,LD  ,CD  ,Residential 2013,Residential 2014,Residential 2015,Residential 2016,Residential 2017,COO 2013,COO 2014,COO 2015,COO 2016,COO 2017,Med Rent 2013,Med Rent  2014,Med Rent  2015,Med Rent  2016,Med Rent  2017,Res. Prop Value 2013,Res. Prop Value 2014,Res. Prop Value 2015,Res. Prop Value 2016,Res. Prop Value 2017,Occ % 2013,Occ %  2014,Occ %  2015,Occ %  2016,Occ %  2017,OwnOcc 2013,OwnOcc  2014,OwnOcc  2015,OwnOcc  2016,OwnOcc  2017
Warren,Liberty,24,5,0,5,1,-,-,0,1,4,-,-,"1,227","1,068","1,278",-,-,"224,225","217,086","231,580","233,076","233,076",90.96,90.96,90.96,90.96,90.96,87.87,87.87,87.87,87.87,87.87
Atlantic,Brigantine,2,2,40,19,10,-,-,18,14,9,-,-,"1,155","1,237","1,245",-,-,"395,441","391,339","382,977","370,178","370,178",46.56,46.56,46.56,46.56,46.56,64.11,64.11,64.11,64.11,64.11
Monmouth,Deal,11,6,5,8,5,-,-,2,0,2,-,-,"1,192","1,230","1,237",-,-,"2,224,720","2,270,558","2,284,294","2,425,022","2,425,022",35.96,35.96,35.96,35.96,35.96,66.37,66.37,66.37,66.37,66.37
Monmouth,Manalapan,12,4,118,47,3,-,-,121,101,15,-,-,"1,486","1,434","1,456",-,-,"400,573","406,627","414,177","417,204","417,204",96.56,96.56,96.56,96.56,96.56,91.68,91.68,91.68,91.68,91.68
Bergen,Norwood,39,5,3,5,6,-,-,1,4,2,-,-,"1,580","1,562","1,677",-,-,"569,972","575,948","596,896","602,459","602,459",96.01,96.01,96.01,96.01,96.01,83.55,83.55,83.55,83.55,83.55
Bergen,North Arlington,36,9,0,16,3,-,-,0,0,2,-,-,"1,212","1,249","1,223",-,-,"313,564","316,603","331,293","335,577","335,577",95.77,95.77,95.77,95.77,95.77,53.92,53.92,53.92,53.92,53.92
Middlesex,Old Bridge,12,"6, 12",54,0,0,-,-,45,0,1,-,-,"1,117","1,133","1,155",-,-,"305,390","312,782","326,912","334,688","334,688",96.51,96.51,96.51,96.51,96.51,70.85,70.85,70.85,70.85,70.85
Morris,Riverdale,40,11,0,0,2,-,-,51,17,1,-,-,"1,885","2,100","1,960",-,-,"312,096","309,557","311,389","318,022","318,022",93.36,93.36,93.36,93.36,93.36,84.62,84.62,84.62,84.62,84.62
Bergen,Montvale,39,5,52,9,65,-,-,20,20,43,-,-,"1,596","1,693","1,691",-,-,"577,226","562,070","547,092","578,901","578,901",96.73,96.73,96.73,96.73,96.73,83.55,83.55,83.55,83.55,83.55
Union,Winfield,22,7,0,0,0,-,-,0,0,0,-,-,766,781,783,-,-,"18,557","18,530","18,424","18,424","18,424",98.88,98.88,98.88,98.88,98.88,54.96,54.96,54.96,54.96,54.96
Bergen,Mahwah,39,5,10,122,30,-,-,1,7,9,-,-,"1,777","1,795","1,815",-,-,"488,644","495,535","489,668","500,296","500,296",96.32,96.32,96.32,96.32,96.32,82.47,82.47,82.47,82.47,82.47
Monmouth,Shrewsbury,11,4,78,21,3,-,-,38,60,21,-,-,"2,100","2,100","2,161",-,-,"493,007","495,533","520,600","540,112","540,112",96.26,96.26,96.26,96.26,96.26,95.24,95.24,95.24,95.24,95.24
Bergen,Hillsdale,39,5,1,0,4,-,-,2,1,1,-,-,"1,238","1,153","1,453",-,-,"506,577","496,853","501,482","507,495","507,495",97.93,97.93,97.93,97.93,97.93,89.15,89.15,89.15,89.15,89.15
Bergen,Hasbrouck Heights,38,9,24,4,4,-,-,13,2,3,-,-,"1,313","1,292","1,309",-,-,"377,975","398,728","402,324","417,411","417,411",95.81,95.81,95.81,95.81,95.81,69.77,69.77,69.77,69.77,69.77
Morris,Jefferson,26,11,9,5,10,-,-,6,5,7,-,-,"1,263","1,113","1,235",-,-,"296,268","295,686","295,862","303,322","303,322",91.08,91.08,91.08,91.08,91.08,87.29,87.29,87.29,87.29,87.29
Middlesex,South Plainfield,18,6,22,102,40,-,-,16,59,57,-,-,"1,445","1,472","1,553",-,-,"321,517","333,114","330,687","322,342","322,342",97.32,97.32,97.32,97.32,97.32,83.86,83.86,83.86,83.86,83.86
Bergen,Fort Lee,37,9,322,53,119,-,-,24,30,487,-,-,"1,492","1,464","1,563",-,-,"491,604","509,344","507,914","470,925","470,925",91.88,91.88,91.88,91.88,91.88,61.8,61.8,61.8,61.8,61.8
Middlesex,South Amboy,19,6,1,0,20,-,-,1,1,0,-,-,"1,180","1,191","1,167",-,-,"266,016","260,611","257,209","257,419","257,419",94.3,94.3,94.3,94.3,94.3,65.87,65.87,65.87,65.87,65.87
Bergen,Glen Rock,38,5,4,8,10,-,-,17,13,6,-,-,"1,655","1,961","1,557",-,-,"579,233","587,438","599,592","598,667","598,667",97.53,97.53,97.53,97.53,97.53,92.21,92.21,92.21,92.21,92.21
