County  ,Municipality  ,LD  ,CD  ,% Pop Change 2013,% Pop Change 2014,% Pop Change 2015,% Pop Change 2016,% Pop Change 2017,25+ 2013,25+ 2014,25+ 2015,25+ 2016,25+ 2017,% College Grad 2013,% College Grad 2014,% College Grad 2015,% College Grad 2016,% College Grad 2017,% Foreign Born 2013,% Foreign Born 2014,% Foreign Born 2015,% Foreign Born 2016,% Foreign Born 2017,% AA 2013,% AA 2014,% AA 2015,% AA 2016,% AA 2017,% Asian 2013,,2015,2016,2017,% Hisp 2013,2014,2015,2016,2017
Warren,Liberty,24,5,-1.7,-2.48,-3.09,-3.2,-3.37,"2,023","2,130","2,050",-,-,30.7,33.1,35.37,-,-,7.87,7.42,6.71,-,-,1.02,1.02,1.02,1.02,1.02,1.5,1.5,1.5,1.5,1.5,4.15,4.15,4.15,4.15,4.15
Atlantic,Brigantine,2,2,-0.47,-1.21,-2.6,-4.32,-5.15,"7,345","7,172","7,282",-,-,32.55,34.44,34.7,-,-,10.92,9.61,9.33,-,-,2.91,2.91,2.91,2.91,2.91,4.72,4.72,4.72,4.72,4.72,6.88,6.88,6.88,6.88,6.88
Monmouth,Deal,11,6,-0.93,-1.73,-1.6,-2.27,-2.27,651,608,593,-,-,33.03,31.58,31.53,-,-,15.06,16.51,15.98,-,-,1.6,1.6,1.6,1.6,1.6,3.47,3.47,3.47,3.47,3.47,7.33,7.33,7.33,7.33,7.33
Monmouth,Manalapan,12,4,2.52,2.87,3.34,2.95,2.94,"26,168","26,180","26,485",-,-,45.07,46.36,47.59,-,-,13.4,12.03,12.87,-,-,2.38,2.38,2.38,2.38,2.38,6.9,6.9,6.9,6.9,6.9,5.66,5.66,5.66,5.66,5.66
Bergen,Norwood,39,5,1.51,2.01,2.77,2.57,3.22,"4,009","4,260","4,247",-,-,49.41,49.98,50.81,-,-,33.74,31.06,27.67,-,-,1.37,1.37,1.37,1.37,1.37,27.18,27.18,27.18,27.18,27.18,4.55,4.55,4.55,4.55,4.55
Bergen,North Arlington,36,9,1.56,2.15,3.33,3.09,4.01,"11,291","11,181","11,334",-,-,31.18,31.89,31.8,-,-,30.88,26.71,29.8,-,-,1.43,1.43,1.43,1.43,1.43,7.87,7.87,7.87,7.87,7.87,20.86,20.86,20.86,20.86,20.86
Middlesex,Old Bridge,12,"6, 12",1.83,2.5,2.81,1.99,2.53,"46,116","47,278","47,895",-,-,34.45,34.91,34.96,-,-,22.56,21.73,22.22,-,-,6.21,6.21,6.21,6.21,6.21,14.34,14.34,14.34,14.34,14.34,10.81,10.81,10.81,10.81,10.81
Morris,Riverdale,40,11,14.08,13.68,20.06,19.5,19.33,"2,893","3,044","3,251",-,-,41.06,45.17,49.74,-,-,12.19,12.31,12.88,-,-,1.21,1.21,1.21,1.21,1.21,5.31,5.31,5.31,5.31,5.31,7.19,7.19,7.19,7.19,7.19
Bergen,Montvale,39,5,2.24,3.88,7.62,8.44,11.22,"5,259","5,246","5,494",-,-,58.2,55.51,55.77,-,-,17.51,18.91,19.09,-,-,1.03,1.03,1.03,1.03,1.03,11.04,11.04,11.04,11.04,11.04,5.34,5.34,5.34,5.34,5.34
Union,Winfield,22,7,1.63,2.11,2.65,2.45,3.87,"1,065","1,052","1,105",-,-,11.74,12.26,13.76,-,-,2.6,2.44,3.69,-,-,0.95,0.95,0.95,0.95,0.95,0.14,0.14,0.14,0.14,0.14,6.39,6.39,6.39,6.39,6.39
Bergen,Mahwah,39,5,1.78,2.36,2.7,2.51,3.36,"17,011","16,644","17,027",-,-,54.72,56.46,56.16,-,-,15.03,15.42,16.13,-,-,2.62,2.62,2.62,2.62,2.62,7.81,7.81,7.81,7.81,7.81,6.26,6.26,6.26,6.26,6.26
Monmouth,Shrewsbury,11,4,3.36,8.3,8.45,8.22,8.22,"2,585","2,579","2,583",-,-,59.19,61.11,62.56,-,-,8.68,7.03,5.05,-,-,0.66,0.66,0.66,0.66,0.66,2.13,2.13,2.13,2.13,2.13,2.49,2.49,2.49,2.49,2.49
Bergen,Hillsdale,39,5,2.01,2.57,3.33,2.85,3.54,"6,902","7,086","7,077",-,-,52.45,52.88,52.9,-,-,15.05,15.96,13.46,-,-,1.01,1.01,1.01,1.01,1.01,6.26,6.26,6.26,6.26,6.26,7.77,7.77,7.77,7.77,7.77
